,alpha,clusters_10,clusters_25,clusters_50
0,0.0,0.7769,0.8692,0.9193
1,0.1,0.7841,0.9015,0.9271
2,1.0,0.7802,0.9093,0.9393
3,10.0,0.7346,0.9104,0.9421
