,alpha,clusters_10,clusters_25,clusters_50
0,0.0,0.7284,0.8431,0.9188
1,0.1,0.7785,0.8926,0.9338
2,1.0,0.7668,0.9026,0.941
3,10.0,0.8136,0.9104,0.9444
