,alpha,clusters_10,clusters_25,clusters_50
0,0.0,0.0946,0.1436,0.1441
1,0.1,0.1603,0.1447,0.1386
2,1.0,0.1558,0.1436,0.1347
3,10.0,0.1452,0.1441,0.1319
